Area,Code,All categories: Ethnic group,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: Total,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
Liverpool,E08000012,"466,415","414,671","395,485","6,729",185,"12,272","11,756","3,473","3,164","2,283","2,836","19,403","4,915","1,999","1,075","7,978","3,436","12,308","8,490","1,467","2,351","8,277","5,629","2,648"
Sefton,E08000014,"273,790","266,741","259,629","2,312",120,"4,680","2,820",830,488,760,742,"2,719",666,127,308,965,653,796,464,223,109,714,327,387
St. Helens,E08000013,"175,308","171,877","169,346",887,69,"1,575","1,179",445,167,271,296,"1,764",504,133,122,512,493,248,152,60,36,240,117,123
Wirral,E08000015,"319,783","310,156","303,682","2,667",77,"3,730","3,286",964,558,949,815,"5,116","1,344",226,851,"1,653","1,042",695,389,189,117,530,208,322
East Riding of Yorkshire,E06000011,"334,179","327,789","321,309",908,227,"5,345","2,301",683,367,785,466,"2,961","1,081",396,69,660,755,598,355,175,68,530,289,241
"Kingston upon Hull, City of",E06000010,"256,406","241,321","229,920",550,284,"10,567","3,454",871,821,945,817,"6,471","1,086",882,755,"2,124","1,624","2,996","2,472",236,288,"2,164","1,134","1,030"
North East Lincolnshire,E06000012,"159,616","155,421","152,240",414,26,"2,741","1,186",381,161,369,275,"2,129",513,195,268,605,548,411,306,71,34,469,265,204
North Lincolnshire,E06000013,"167,446","160,748","154,526",727,90,"5,405","1,244",341,166,451,286,"4,549","1,122",862,"1,443",530,592,494,365,64,65,411,173,238
York,E06000014,"198,051","186,731","178,613","1,103",269,"6,746","2,413",529,305,873,706,"6,740","1,531",417,370,"2,449","1,973","1,194",903,205,86,973,498,475
North Yorkshire,E10000023,"598,376","582,475","565,055","2,381",588,"14,451","5,043","1,315",662,"1,821","1,245","7,356","1,631",894,275,"1,733","2,823","2,424","1,428",372,624,"1,078",357,721
Barnsley,E08000016,"231,221","226,285","222,164",567,163,"3,391","1,630",644,178,434,374,"1,661",442,211,60,440,508,"1,221",995,149,77,424,168,256
Doncaster,E08000017,"302,402","288,066","277,740","1,183",587,"8,556","3,321","1,413",440,877,591,"7,614","1,865","2,728",117,"1,121","1,783","2,337","1,309",778,250,"1,064",231,833
Rotherham,E08000018,"257,280","240,758","236,438",776,126,"3,418","2,551",787,301,865,598,"10,551",961,"7,609",109,592,"1,280","2,112","1,672",283,157,"1,308",581,727
Sheffield,E08000019,"552,698","462,544","446,837","2,891",358,"12,458","13,289","5,450","1,296","3,490","3,053","44,385","5,868","21,990","3,326","7,398","5,803","20,082","11,543","5,506","3,033","12,398","8,432","3,966"
